"Kernel","Iteration","Success.Mean","Success.Std"
"Gaussian (p=2;l=2)",1,51,9.8
"Gaussian (p=2;l=2)",2,56,9.73
"Gaussian (p=2;l=2)",3,60,9.6
"Gaussian (p=2;l=2)",4,61,9.56
"Gaussian (p=2;l=2)",5,63,9.46
"Gaussian (p=2;l=2)",6,64,9.41
"Gaussian (p=2;l=2)",7,60,9.6
"Gaussian (p=2;l=2)",8,72,8.8
"Gaussian (p=2;l=2)",9,71,8.89
"Gaussian (p=2;l=2)",10,69,9.06
"Gaussian (p=2;l=3)",1,54,9.77
"Gaussian (p=2;l=3)",2,60,9.6
"Gaussian (p=2;l=3)",3,65,9.35
"Gaussian (p=2;l=3)",4,66,9.28
"Gaussian (p=2;l=3)",5,62,9.51
"Gaussian (p=2;l=3)",6,67,9.22
"Gaussian (p=2;l=3)",7,72,8.8
"Gaussian (p=2;l=3)",8,75,8.49
"Gaussian (p=2;l=3)",9,72,8.8
"Gaussian (p=2;l=3)",10,71,8.89
"Gaussian (p=2;l=4)",1,48,9.79
"Gaussian (p=2;l=4)",2,55,9.75
"Gaussian (p=2;l=4)",3,64,9.41
"Gaussian (p=2;l=4)",4,60,9.6
"Gaussian (p=2;l=4)",5,73,8.7
"Gaussian (p=2;l=4)",6,63,9.46
"Gaussian (p=2;l=4)",7,74,8.6
"Gaussian (p=2;l=4)",8,75,8.49
"Gaussian (p=2;l=4)",9,71,8.89
"Gaussian (p=2;l=4)",10,72,8.8
"Gaussian (p=3;l=2)",1,40,9.6
"Gaussian (p=3;l=2)",2,68,9.14
"Gaussian (p=3;l=2)",3,72,8.8
"Gaussian (p=3;l=2)",4,76,8.37
"Gaussian (p=3;l=2)",5,63,9.46
"Gaussian (p=3;l=2)",6,78,8.12
"Gaussian (p=3;l=2)",7,80,7.84
"Gaussian (p=3;l=2)",8,78,8.12
"Gaussian (p=3;l=2)",9,75,8.49
"Gaussian (p=3;l=2)",10,67,9.22
"Gaussian (p=3;l=3)",1,55,9.75
"Gaussian (p=3;l=3)",2,60,9.6
"Gaussian (p=3;l=3)",3,65,9.35
"Gaussian (p=3;l=3)",4,74,8.6
"Gaussian (p=3;l=3)",5,67,9.22
"Gaussian (p=3;l=3)",6,79,7.98
"Gaussian (p=3;l=3)",7,71,8.89
"Gaussian (p=3;l=3)",8,63,9.46
"Gaussian (p=3;l=3)",9,69,9.06
"Gaussian (p=3;l=3)",10,71,8.89
"Gaussian (p=4;l=2)",1,60,9.6
"Gaussian (p=4;l=2)",2,77,8.25
"Gaussian (p=4;l=2)",3,67,9.22
"Gaussian (p=4;l=2)",4,70,8.98
"Gaussian (p=4;l=2)",5,63,9.46
"Gaussian (p=4;l=2)",6,72,8.8
"Gaussian (p=4;l=2)",7,72,8.8
"Gaussian (p=4;l=2)",8,72,8.8
"Gaussian (p=4;l=2)",9,65,9.35
"Gaussian (p=4;l=2)",10,78,8.12
"Gaussian (p=4;l=3)",1,55,9.75
"Gaussian (p=4;l=3)",2,61,9.56
"Gaussian (p=4;l=3)",3,65,9.35
"Gaussian (p=4;l=3)",4,63,9.46
"Gaussian (p=4;l=3)",5,56,9.73
"Gaussian (p=4;l=3)",6,61,9.56
"Gaussian (p=4;l=3)",7,71,8.89
"Gaussian (p=4;l=3)",8,73,8.7
"Gaussian (p=4;l=3)",9,63,9.46
"Gaussian (p=4;l=3)",10,74,8.6
"Gaussian (p=4;l=4)",1,27,8.7
"Gaussian (p=4;l=4)",2,43,9.7
"Gaussian (p=4;l=4)",3,34,9.28
"Gaussian (p=4;l=4)",4,36,9.41
"Gaussian (p=4;l=4)",5,41,9.64
"Gaussian (p=4;l=4)",6,31,9.06
"Gaussian (p=4;l=4)",7,44,9.73
"Gaussian (p=4;l=4)",8,40,9.6
"Gaussian (p=4;l=4)",9,40,9.6
"Gaussian (p=4;l=4)",10,44,9.73
"Gaussian (p=5;l=2)",1,43,9.7
"Gaussian (p=5;l=2)",2,64,9.41
"Gaussian (p=5;l=2)",3,64,9.41
"Gaussian (p=5;l=2)",4,60,9.6
"Gaussian (p=5;l=2)",5,58,9.67
"Gaussian (p=5;l=2)",6,55,9.75
"Gaussian (p=5;l=2)",7,67,9.22
"Gaussian (p=5;l=2)",8,74,8.6
"Gaussian (p=5;l=2)",9,63,9.46
"Gaussian (p=5;l=2)",10,71,8.89
"Gaussian (p=5;l=3)",1,44,9.73
"Gaussian (p=5;l=3)",2,57,9.7
"Gaussian (p=5;l=3)",3,57,9.7
"Gaussian (p=5;l=3)",4,61,9.56
"Gaussian (p=5;l=3)",5,66,9.28
"Gaussian (p=5;l=3)",6,68,9.14
"Gaussian (p=5;l=3)",7,64,9.41
"Gaussian (p=5;l=3)",8,70,8.98
"Gaussian (p=5;l=3)",9,61,9.56
"Gaussian (p=5;l=3)",10,69,9.06
"Gaussian (p=5;l=4)",1,30,8.98
"Gaussian (p=5;l=4)",2,36,9.41
"Gaussian (p=5;l=4)",3,41,9.64
"Gaussian (p=5;l=4)",4,36,9.41
"Gaussian (p=5;l=4)",5,42,9.67
"Gaussian (p=5;l=4)",6,35,9.35
"Gaussian (p=5;l=4)",7,41,9.64
"Gaussian (p=5;l=4)",8,40,9.6
"Gaussian (p=5;l=4)",9,47,9.78
"Gaussian (p=5;l=4)",10,46,9.77
"Linear (sigma=5)",1,67,9.22
"Linear (sigma=5)",2,56,9.73
"Linear (sigma=5)",3,60,9.6
"Linear (sigma=5)",4,67,9.22
"Linear (sigma=5)",5,66,9.28
"Linear (sigma=5)",6,59,9.64
"Linear (sigma=5)",7,65,9.35
"Linear (sigma=5)",8,66,9.28
"Linear (sigma=5)",9,69,9.06
"Linear (sigma=5)",10,75,8.49
